VN|VNM
NZ|NZL
SL|SLE
HU|HUN
MN|MNG
RS|SRB
CO|COL
KR|KOR
JP|JPN
NA|NAM
ME|MNE
KI|KIR
RW|RWA
CK|COK
PS|PSE
TN|TUN
KW|KWT
SE|SWE
CA|CAN
BB|BRB
AM|ARM
ZM|ZMB
AL|ALB
GE|GEO
NR|NRU
MA|MAR
TH|THA
CL|CHL
TR|TUR
GM|GMB
BT|BTN
PE|PER
AF|AFG
LA|LAO
GN|GIN
LT|LTU
PA|PAN
PL|POL
HR|HRV
CU|CUB
WS|WSM
LV|LVA
JO|JOR
LC|LCA
TO|TON
MV|MDV
VE|VEN
AO|AGO
LU|LUX
QA|QAT
BZ|BLZ
PG|PNG
BO|BOL
UA|UKR
MK|MKD
LI|LIE
GR|GRC
MX|MEX
HN|HND
LB|LBN
KG|KGZ
GY|GUY
ER|ERI
KH|KHM
CV|CPV
BR|BRA
PH|PHL
JM|JAM
ID|IDN
UZ|UZB
IT|ITA
LR|LBR
NO|NOR
MU|MUS
AZ|AZE
NI|NIC
DJ|DJI
HT|HTI
AU|AUS
KZ|KAZ
MT|MLT
NG|NGA
CZ|CZE
KE|KEN
BW|BWA
IN|IND
KM|COM
EC|ECU
UY|URY
DK|DNK
TJ|TJK
ET|ETH
IQ|IRQ
DE|DEU
BS|BHS
CN|CHN
MY|MYS
SZ|SWZ
SC|SYC
GT|GTM
AT|AUT
PY|PRY
IS|ISL
TV|TUV
PK|PAK
FJ|FJI
DZ|DZA
AR|ARG
BD|BGD
MW|MWI
VU|VUT
UG|UGA
GH|GHA
IR|IRN
SI|SVN
CH|CHE
BH|BHR
EG|EGY
NP|NPL
MM|MMR
ST|STP
DO|DOM
AD|AND
IE|IRL
BI|BDI
EE|EST
NE|NER
MC|MCO
ES|ESP
SM|SMR
CG|COG
SN|SEN
SK|SVK
BE|BEL
SY|SYR
CM|CMR
BY|BLR
FI|FIN
DM|DMA
SG|SGP
GA|GAB
CY|CYP
TD|TCD
OM|OMN
CR|CRI
TM|TKM
YE|YEM
SV|SLV
TG|TGO
ML|MLI
TT|TTO
SB|SLB
GD|GRD
SO|SOM
PT|PRT
FR|FRA
LY|LBY
CI|CIV
LS|LSO
MR|MRT
MZ|MOZ
TZ|TZA
PW|PLW
ZW|ZWE
SA|SAU
BN|BRN
RU|RUS
AE|ARE
RO|ROU
SR|SUR
ZA|ZAF
SS|SSD
NU|NIU
LK|LKA
IL|ISR
MG|MDG
NL|NLD
AG|ATG
BJ|BEN
BF|BFA
CF|CAF
GQ|GNQ
MH|MHL
KP|PRK
FM|FSM
KN|KNA
GW|GNB
VC|VCT
BG|BGR
GB|GBR
SD|SDN
US|USA
BA|BIH
MD|MDA
CD|COD
TL|TLS
VA|VAT
